,CMG,DPZ,AMZN,GS,JPM,SCHW,LYB,DD,MOS
2017-01-04,0.018918260655156116,0.029237526409575665,0.004657284610836365,0.00645773985785425,0.001844767742717357,0.025373393185064375,0.021984259503455394,0.00798622692193729,0.04334555880265434
2017-01-05,0.02626624857705573,-0.0013500272978740346,0.03073239887913859,-0.007444571132964484,-0.009205305881331616,-0.006064944665600702,-0.0012389616248122959,-0.004478371979209417,0.0019474176142511013
2017-01-06,0.016713842017242353,0.00442331781576577,0.01991160088348276,0.014834970247910473,0.00011636979173568207,0.006345902646441859,-0.005751178889234043,-0.006228031898105835,-0.002267373864947464
2017-01-09,-0.008483096230553655,0.006238877523979225,0.0011683855384734265,-0.00820711515452599,0.0006964708117687124,-0.00266782132997756,-0.014517282218099892,0.006093344510969212,-0.0029222721518565864
2017-01-10,0.0491571243551534,0.011245946331067458,-0.001279990502987438,-0.0013175675628419592,0.002901052348437627,0.001702318306594286,-0.00011488398838022107,-0.002076613710640718,0.0003255603296170584
2017-01-11,-0.0013270080485618951,0.015628753212822755,0.003920142024267603,0.01315068988161272,0.0075206684226691856,0.0031557058146174377,0.01795562829522801,0.010230598443206729,0.023112088510362616
2017-01-12,-0.011064640526913916,-0.0035510695660302405,0.01829738902683742,-0.007812465439215099,-0.009646290656897594,-0.0014519970989834707,0.0133423175846763,0.0005149653485099215,-0.000636269370969833
2017-01-13,0.0034200412253819756,-0.0071277360881480956,0.004301638082535586,0.0018865507255383385,0.0053338090678394234,0.003636016643374207,0.0012276032208453636,-0.008406494328682457,-0.005094042569155799
2017-01-17,-0.01188071791311629,-0.013340522351934059,-0.009080412088530276,-0.035038858396785444,-0.03633211512673207,-0.026080514685491996,0.0026744603785897603,-0.00813133572034197,-0.015360049036275636
2017-01-18,0.009535060890791147,0.0038805176965155397,-0.002766376316502117,-0.00615092984903387,0.00466803080180922,0.01909199219337898,0.0008894550875953033,0.006628250480466447,-0.005524790378137134
2017-01-19,-0.0021232858347310923,0.002838751559985919,0.001931914448134897,-0.012292366873536964,-0.007624488822275621,0.00827255619421896,-0.003220429418258952,-0.010743172018305991,-0.011437763555636749
2017-01-20,-0.008975916437948372,0.011021300523546218,-0.0008775727540912825,0.0034137594826448847,0.004441449087785765,-0.0031369651413568622,0.012588721285764048,0.005079769153691682,0.034049478449557746
2017-01-23,0.006219123735821341,-0.00494427666312347,0.011814504334756615,0.002024065803683639,0.0004780885549953151,-0.0029048944890894823,0.0029708973368725022,-0.00418269245490388,0.00863170402401714
2017-01-24,0.024919071008757454,0.014786918114796377,0.005575405566935476,0.004340976129340479,0.01206556553440219,0.014809334891239478,0.04354962865306633,0.04375220475524144,0.0602221261005349
2017-01-25,0.003972440994334914,0.006253143858401478,0.017119754327643122,0.015277316771717953,0.01546268232524528,0.011722573032077355,0.013139917679754198,0.0095571294479051,-0.005680537158639365
2017-01-26,-0.0019306801308486277,0.002169468487771775,0.0031439832513029398,0.00982092397680323,0.00836931342119418,0.003783405674129048,-0.010271672133775223,0.020096518025687127,-0.04269382643395747
2017-01-27,-0.005086821643844552,0.006317529040383629,-0.004027854767751027,-0.010977656909135436,0.002074962345095299,-0.003297966054600421,-0.0009434003334769514,-0.0017910268146020814,-0.013191005115985144
2017-01-30,0.003240533086262598,0.01110370776571612,-0.0064491599651470555,-0.012871790673242622,-0.010353328957742547,-0.011344948270176514,-0.010493310435615855,-0.018920208628737667,-0.014322009288235793
2017-01-31,0.008350257524687432,0.003506897855640956,-0.008309477885662386,-0.019581021211411254,-0.016273444844232876,-0.014104687646760428,-0.01092254253802416,-0.008645226325419753,0.012915908144153665
2017-02-01,-0.0028710882879381394,-0.02091177100014019,0.010771373223389613,0.00588689124066577,0.0037811106861587174,0.002424920835046418,0.01929876311243306,0.011236085198317758,0.009881911225619211
2017-02-02,0.007305467782834141,0.023523630374391757,0.009130799911785559,-0.0011271117696465272,-0.004237435801147438,-0.0524916244790411,-0.013884458564212276,-0.007296770708746458,-0.0072600930948566456
2017-02-03,-0.045405154204973486,0.0056030719094186665,-0.03541884643413129,0.04574469261592573,0.030617926289175923,0.025529858266107208,0.010026606647963288,0.005846802598147072,0.012718651586880902
2017-02-06,-0.021010667482925793,0.011654930147949605,-0.003159673101806648,-0.004025982586858601,-0.004703032573110555,-0.010704679924465221,0.0026402824809510506,-0.0031556524224092275,0.0056514848766835435
2017-02-07,0.007710049138708985,0.028211935150551204,0.006017533324283564,-0.001500175904172174,-0.0005760792102710299,-0.0015097258065898123,-0.027280513206781265,-0.003832061178120294,0.006244075552813033
2017-02-08,0.010786643675901209,0.012133817206477326,0.008873854417067228,-0.007887455225032314,-0.008763685759031303,-0.004040635810488857,-0.007471537535198691,-0.0010033726778641006,-0.0006207283166020927
2017-02-09,0.030699347402188826,0.003887844168368515,0.0020129181561270304,0.016068817607530095,0.014425078373569988,0.0162272849351337,0.006327613505991758,0.00887307540237603,-0.011797378744344611
2017-02-10,-0.0046953172774419905,0.0025283065014536366,0.007426714212598773,0.004843723034264169,-0.0022937766596496934,-0.00349278078983839,-0.0041193621162304295,0.015433389649127438,0.03235943807848263
2017-02-13,0.0018870459757045488,-0.013789800440700661,0.010961226604057517,0.014625733528019325,0.013218713542432425,0.019528849394683245,0.003918951893127742,0.006046656185267896,0.02708438570989591
2017-02-14,0.01303905371488523,0.0060392267680422496,-0.00016735728527694782,0.012953321056092815,0.015995441533741994,0.013261333044656709,0.010084429245869275,0.0025992860648604843,0.008000293767700173
2017-02-15,0.009057509928905638,0.005570234153753129,0.007544288006336997,0.004329361908560925,0.011500623291832213,0.021813283570008002,-0.0006440948516882594,-0.01004547043871773,-0.007054784736200137
2017-02-16,0.003354309632962238,0.0008606843791587604,0.0017088504510958114,-0.0043905032399234045,-0.0006624019035662565,-0.014468852004804744,-0.004296770357046675,0.0050736037946474966,-0.01864994832957967
